timestamp,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,torso_x,torso_y,pose_label
0,649.557,103.901,687.375,111.987,721.302,207.219,in_work_area
4,1591.537,494.632,1528.512,555.421,1491.647,539.494,in_work_area
6,1599.691,493.727,1564.799,561.502,1494.276,538.545,in_work_area
13,758.992,271.475,765.084,278.592,777.523,302.858,near_router
15,220.099,1114.964,719.097,1059.843,798.098,961.57,near_router
16,356.834,918.777,662.016,1006.29,738.532,971.409,near_router
17,394.267,969.54,585.333,1069.006,779.181,973.084,near_router
18,539.75,1176.356,676.5,1107.93,839.95,972.74,near_router
19,563.855,993.106,648.955,912.686,887.354,888.55,near_router
20,554.629,1020.306,633.157,902.141,896.883,907.842,near_router
21,553.531,1035.179,641.546,907.013,886.48,916.769,near_router
22,613.404,854.459,643.916,858.709,867.284,915.131,near_router
23,629.209,844.698,684.989,891.471,865.827,911.467,near_router
24,611.132,582.554,775.206,632.332,865.695,875.996,near_router
25,585.721,536.532,692.433,549.313,854.256,878.83,operate_router
26,494.003,569.038,675.122,541.975,848.949,886.206,operate_router
27,582.488,635.959,615.812,534.134,854.537,888.084,operate_router
28,684.859,650.388,735.915,615.152,865.646,884.071,near_router
29,619.815,454.317,612.961,487.862,878.98,884.758,operate_router
30,510.979,488.064,589.124,518.86,903.369,890.954,operate_router
31,533.61,433.553,571.375,426.737,893.517,884.316,operate_router
32,531.793,523.749,581.642,488.769,881.827,882.557,operate_router
33,571.25,920.656,722.918,896.902,865.616,893.496,near_router
34,575.003,861.148,708.342,874.152,861.359,891.76,near_router
35,623.861,920.027,678.394,796.917,860.124,900.763,near_router
36,643.833,983.846,677.864,792.372,862.273,908.388,near_router
37,638.371,891.837,674.978,788.479,859.899,909.508,near_router
38,650.796,937.023,674.555,791.832,860.094,910.743,near_router
39,650.394,912.364,672.85,788.829,858.705,910.907,near_router
40,646.964,928.62,671.674,790.673,856.859,912.391,near_router
41,642.59,1021.529,667.438,794.297,857.057,913.993,near_router
42,663.564,1010.961,677.599,855.501,857.37,917.089,near_router
43,701.722,1052.161,785.326,984.003,829.753,927.45,near_router
44,484.591,507.774,615.257,554.146,768.032,874.905,operate_router
45,515.469,514.905,599.895,501.098,763.354,848.96,operate_router
46,476.704,447.641,614.697,464.457,784.605,841.66,operate_router
47,418.082,455.233,513.002,486.733,800.365,848.729,operate_router
48,467.042,538.435,551.354,512.313,807.785,853.998,operate_router
49,488.338,455.619,649.994,489.934,815.448,857.106,operate_router
50,490.812,462.401,572.673,495.372,815.952,860.131,operate_router
51,457.289,505.193,580.735,507.053,808.394,861.348,operate_router
52,466.664,519.111,498.76,507.001,802.433,858.618,operate_router
53,478.609,495.21,505.308,516.645,803.667,859.366,operate_router
54,460.073,533.316,579.04,618.208,797.103,859.556,near_router
55,495.322,1120.252,736.107,1050.055,804.21,883.5,near_router
56,499.781,984.907,730.292,898.194,807.136,902.801,near_router
57,638.902,1036.423,746.889,1030.061,837.241,910.555,near_router
58,654.036,1018.95,743.228,942.376,838.249,911.86,near_router
59,663.294,1055.325,797.05,1038.437,841.226,915.495,near_router
60,668.374,1031.236,810.145,1023.576,833.135,925.917,near_router
61,569.085,559.175,683.854,575.573,801.854,858.737,operate_router
62,528.71,551.999,722.891,697.901,771.296,860.367,operate_router
63,486.666,588.673,596.171,696.095,751.557,856.252,near_router
64,507.047,564.23,562.431,555.011,757.039,856.748,operate_router
65,605.79,892.048,726.256,847.441,798.486,896.482,near_router
66,598.53,924.092,721.141,863.682,827.252,902.395,near_router
67,628.184,923.187,751.514,890.383,836.785,907.454,near_router
68,617.962,897.544,739.066,877.037,839.253,908.419,near_router
69,623.584,897.064,743.561,880.814,839.559,903.358,near_router
70,622.789,899.023,761.329,912.82,839.195,903.413,near_router
71,629.294,903.051,752.793,901.859,837.968,903.032,near_router
72,626.958,901.668,748.928,905.785,837.321,900.604,near_router
73,626.046,896.618,726.937,897.374,837.617,897.915,near_router
74,632.796,905.588,729.505,904.433,836.516,898.05,near_router
75,617.216,856.41,725.675,901.85,834.848,897.57,near_router
76,613.452,841.803,728.068,899.352,833.475,899.344,near_router
77,599.563,983.215,726.292,1009.146,811.927,900.224,near_router
78,610.499,1008.216,753.445,992.882,781.362,906.641,near_router
79,653.511,1022.75,651.084,670.989,812.603,908.496,near_router
80,650.496,891.133,829.446,723.971,828.338,908.723,near_router
81,652.011,645.938,832.77,762.427,834.152,884.803,near_router
82,651.521,636.097,687.414,614.062,831.79,886.527,near_router
83,648.618,638.521,671.673,577.15,835.951,885.884,near_router
