timestamp,object_id,label,role,bbox_x,bbox_y,bbox_w,bbox_h,zone,visible,crop_path
0,tool_1,screwdriver,worker,275,220,30,30,work_area,true,
1,tool_1,screwdriver,worker,280,220,30,30,work_area,true,
2,tool_1,screwdriver,worker,295,220,30,30,work_area,true,
3,tool_1,screwdriver,worker,310,220,30,30,work_area,true,
4,tool_1,screwdriver,worker,282,220,30,30,work_area,true,
5,tool_1,screwdriver,worker,276,220,30,30,work_area,true,
0,private_1,key,high_risk,340,220,24,24,private_shelf,true,
1,private_1,key,high_risk,340,220,24,24,private_shelf,true,
2,private_1,key,high_risk,342,220,24,24,private_shelf,true,
3,private_1,key,high_risk,350,220,24,24,private_shelf,true,
4,private_1,key,high_risk,400,220,24,24,work_area,true,
5,private_1,key,high_risk,450,220,24,24,work_area,true,
6,private_1,key,high_risk,500,220,24,24,exit_area,true,
